Genus + species name,Empire,Kingdom,Subkingdom,Phylum,Class,Order,Family,Genus,Species,Kind of infraspecific level: var./f./ssp.,Infraspecific name,Determination uncertainty level,Authorities,Class sensu Bourrelly (1974),INRA code,Cell length µm,Cell width µm,Cell thickness µm,Geometrical shape of the cell,Multiplicative factor to the geometrical shape to get the cell biovolume,Dividing factor to the geometrical shape to get the cell surface area,Cell surface area µm²,Cell biovolume µm3,Number of cells per colony,Cumulated surface area of cells in a colony µm²,Cumulated biovolume of cells in a colony µm3,Colony length (takes into account mucilage) µm,Colony width (takes into account mucilage) µm,Colony thickness (takes into account mucilage) µm,Geometrical shape of the colony,Multiplicative factor to the geometrical shape to get the colony biovolume (without mucilage),Dividing factor to the geometrical shape to get the colony surface area (take into account mucilage),Colony surface area µm² (with mucilage),Colony biovolume µm3 (without mucilage),Reference biovolume,Maximal length of the algal object,Notes on biovolumes,Organic carbon ratio (Wetzel et Likens 2000),Functional groups (Reynolds 2002),Functional groups (Padisak 2009),Morpho-classification (Kruk 2010),Nano/microphytoplankton,Mobility apparatus,Mobility apparatus: Flagella,Mobility apparatus: Raphe,Colonial,Filament,Heterotrophic,Mixotrophic,Autotrophic,<=5,8-May,15-Aug,15-30,30-60,>60
Nitzschia sigma,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma,,,,(Kützing) W.M. Smith,Diatomées,71951,100,9,4,box,0.6,0.6,4453.33,2160,1,4453.33,2160,,,,,,,,,2250,999,Averages from literature,0.11,D,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Nitzschia sigmoidea,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigmoidea,,,,(NITZSCH) W.Smith,Diatomées,71930,320,11,6,box,0.75,0.75,14682.67,15840,1,14682.67,15840,,,,,,,,,15840,320,Averages from literature,0.11,D,MP,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Nitzschia sp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sp.,,,Species,Hassall,Diatomées,71900,49,5,4,box,0.8,0.8,1152.5,784,1,1152.5,784,,,,,,,,,784,49,Averages from literature,0.11,D,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Nitzschia spp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,spp,,,Species,Hassall,Diatomées,71902,50,5,2,box,0.7,0.7,1028.57,350,1,1028.57,350,,,,,,,,,784,50,Averages from literature,0.11,D,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Nitzschia vermicularis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,vermicularis,,,,(Kützing) HANTZSCH,Diatomées,71911,160,6,4,box,0.7,0.7,4640,2688,1,4640,2688,,,,,,,,,2500,160,Averages from literature,0.11,D,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Oestrupia bicontracta,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Oestrupia,bicontracta,,,,(Ostrup) Lange-Bertalot & Krammer,Diatomées,76010,22,8,5,box,0.8,0.8,815,704,1,815,704,,,,,,,,,704,22,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia acrosphaeria,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,acrosphaeria,,,,Rabenhorst,Diatomées,71510,190,20,20,box,0.8,0.8,20000,60800,1,20000,60800,,,,,,,,,60800,190,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia biceps,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,biceps,,,,Gregory,Diatomées,71502,66.5,12,5,box,0.8,0.8,2976.25,3192,1,2976.25,3192,,,,,,,,,5043.5,66.5,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia gibba,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,gibba,,,,Ehrenberg,Diatomées,71501,60,10,5,box,0.8,0.8,2375,2400,1,2375,2400,,,,,,,,,2321,95,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia major,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,major,,,,(Kützing) Rabenhorst,Diatomées,71520,170,24,10,box,0.8,0.8,15050,32640,1,15050,32640,,,,,,,,,32640,170,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia sp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,sp.,,,Species,Ehrenberg,Diatomées,71500,89,13,17,box,0.8,0.8,7227.5,15735.2,1,7227.5,15735.2,,,,,,,,,15735.2,89,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Pinnularia viridis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,viridis,,,,(NITZSCH) Ehrenberg,Diatomées,71530,70,12,6,box,0.8,0.8,3330,4032,1,3330,4032,,,,,,,,,4032,70,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Placoneis clementis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Placoneis,clementis,,,,(Grun.) Cox,Diatomées,71531,32.5,11,3,box,0.8,0.8,1220,858,1,1220,858,,,,,,,,,829,32.5,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Planothidium calcar,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Planothidium,calcar,,,,(Cleve) Round & Bukhtiyarova,Diatomées,71108,15,9.5,3,box,0.8,0.8,540,342,1,540,342,,,,,,,,,546,15,Averages from literature,0.11,,Tb,VI,Nanophytoplankton,1,0,1,0,0,0,1,0,,,,,,
Planothidium lanceolatum,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Planothidium,lanceolatum,,,,(Brébisson ex Kützing) Lange-Bertalot,Diatomées,71109,23,7.5,3,box,0.9,0.9,586.67,465.75,1,586.67,465.75,,,,,,,,,475,23,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Puncticulata radiosa,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Puncticulata,radiosa,,,,(Lemmermann) Håkansson,Diatomées,70241,20,20,5,box,1,1,1200,2000,1,1200,2000,,,,,,,,,1570.8,20,Averages from literature,0.11,,B,VI,Microphytoplankton,0,0,0,0,0,0,1,0,0,0,1,3,5,1
Rhizosolenia longiseta,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,longiseta,,,,Zacharias,Diatomées,70299,120,7,7,tube,1,1,2714.53,4615.8,1,2714.53,4615.8,,,,,,,,,4615.8,120,Averages from literature,0.11,A,A,VI,Microphytoplankton,0,0,0,1,0,0,1,0,,,,,,
Rhizosolenia eriensis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,eriensis,,,,H.L.Smith,Diatomées,70298,75,12.5,3,box,0.5,0.5,4800,1406.25,1,4800,1406.25,,,,,,,,,1406.25,75,Averages from literature,0.11,,A,VI,Microphytoplankton,0,0,0,1,0,0,1,0,,,,,,
Rhoicosphenia abbreviata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,abbreviata,,,,(C. Agardh) Lange-Bertalot,Diatomées,72610,20,10,10,box,0.6,0.6,1666.67,1200,1,1666.67,1200,,,,,,,,,1200,20,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Rhopalodia gibba,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,gibba,,,,(Ehrenberg) O.MÜLLER,Diatomées,72615,102,15,7.5,box,0.8,0.8,6018.75,9180,1,6018.75,9180,,,,,,,,,9180,102,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Sellaphora bacillum,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Sellaphora,bacillum,,,,(Ehrenberg) D.G.Mann,Diatomées,71411,60,15,2.5,box,0.9,0.9,2416.67,2025,1,2416.67,2025,,,,,,,,,2129,60,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Sellaphora pupula,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Sellaphora,pupula,,,,(Kützing) Mereschkowksy,Diatomées,71410,50,12.5,2,box,0.9,0.9,1666.67,1125,1,1666.67,1125,,,,,,,,,1183,50,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Sellaphora rostrata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Sellaphora,rostrata,,,,(Hustedt) J.R. Johansen,Diatomées,71412,50,12.5,2,box,0.9,0.9,1666.67,1125,1,1666.67,1125,,,,,,,,,1183,50,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Skeletonema cf subsalsum,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Skeletonemaceae,Skeletonema,subsalsum,,,,(Cleve-Euler) Bethge,Diatomées,70010,12,3,3,tube,1,1,127.17,84.78,2,254.34,169.56,,,,,,,,,169.6,24,Averages from literature,0.11,,D,VI,Microphytoplankton,0,0,0,1,1,0,1,0,,,,,,
Stauroneis anceps,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis,anceps,,,,Ehrenberg,Diatomées,75010,43,13,5,box,0.9,0.9,1864.44,2515.5,1,1864.44,2515.5,,,,,,,,,2515.5,43,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Staurosira leptostauron,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosira,leptostauron,,,,Ehrenberg ?,Diatomées,72151,15,12.5,5,box,0.6,0.6,1083.33,562.5,1,1083.33,562.5,,,,,,,,,562.5,15,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Staurosira brevistriata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosira,brevistriata,,,,(Grunow) Grunow,Diatomées,70658,17.5,7.5,5,box,0.8,0.8,640.63,525,1,640.63,525,,,,,,,,,525,17.5,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,0,0,1,0,,,,,,
Staurosira construens,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosira,construens,,,,Ehrenberg,Diatomées,70657,19.5,7,3.230769231,box,0.7,0.7,634.62,308.7,1,634.62,308.7,,,,,,,,,441,19.5,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Pseudostaurosira parasitica,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,parasitica,,,,(W.Smith) Morales,Diatomées,70659,17,4,2,box,0.9,0.9,244.44,122.4,1,244.44,122.4,,,,,,,,,122.4,17,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Pseudostaurosira robusta,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,robusta,,,,(Fusey) D.M.Williams & Round,Diatomées,70656,15,5,2.3,box,0.8,0.8,302.5,138,1,302.5,138,,,,,,,,,174,15,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Staurosira mutabilis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosira,mutabilis,,,,(W. Sm.) Grunow,Diatomées,70654,10,4,2.5,box,0.8,0.8,187.5,80,1,187.5,80,,,,,,,,,80,10,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Staurosira pinnata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosira,pinnata,,,,Ehrenberg,Diatomées,70655,10,4,2.5,box,0.8,0.8,187.5,80,1,187.5,80,,,,,,,,,80,10,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Staurosirella pinnata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Staurosirella,pinnata,,,,Ehrenberg,Diatomées,70651,10,4,2.5,box,0.8,0.8,187.5,80,1,187.5,80,,,,,,,,,80,10,Averages from literature,0.11,,MP,VI,Nanophytoplankton,0,0,0,1,1,0,1,0,,,,,,
Stephanodiscus alpinus,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,alpinus,,,,Hustedt,Diatomées,70330,15,15,5,box,1,1,750,1125,1,750,1125,,,,,,,,,883.6,15,Averages from literature,0.11,,C,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,1,3,4,2,0,0
Stephanodiscus binderanus,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,binderanus,,,,(Kützing) WILLI KRIEGER,Diatomées,70130,8.7,8.6,8.6,box,1,1,447.2,643.45,1,447.2,643.45,,,,,,,,,505.4,100,Averages from literature,0.11,,C,VI,Microphytoplankton,0,0,0,1,1,0,1,0,0,0,0,1,3,6
Stephanodiscus hantzschii,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,hantzschii,,,,Grunow,Diatomées,70131,17.5,17.5,2.5,tube,1,1,971.44,4207.11,1,971.44,4207.11,,,,,,,,,601.015625,17.5,Averages from literature,0.11,D,D,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,0,0,0,3,3,4
Stephanodiscus hantzschii f. tenuis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,hantzschii,f.,tenuis,,(Hustedt) Hakansson & Stoermer,Diatomées,70132,17.5,17.5,2.5,tube,1,1,971.44,4207.11,1,971.44,4207.11,,,,,,,,,567,17.5,Averages from literature,0.11,D,D,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,0,0,0,3,3,4
Stephanodiscus irregulare,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,irregulare,,,,Druart,Diatomées,70360,15,15,5,box,1,1,750,1125,1,750,1125,,,,,,,,,883.6,15,Averages from literature,0.11,,B,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,,,,,,
Stephanodiscus minutulus,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,minutulus,,,,(Kützing) Cleve & MOELLER,Diatomées,70350,5,5,2.5,box,1,1,100,62.5,1,100,62.5,,,,,,,,,49.1,5,Averages from literature,0.11,,B,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,0,0,0,2,4,4
Stephanodiscus neoastraea,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,neoastraea,,,,Hakansson & Hickel,Diatomées,70310,28,28,11,box,1,1,2800,8624,1,2800,8624,,,,,,,,,6773.3,28,Averages from literature,0.11,,B,VI,Microphytoplankton,0,0,0,0,0,0,1,0,0,0,3,4,3,0
Stephanodiscus parvus,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,parvus,,,,Stoermer & Hakansson,Diatomées,70351,5,5,2.5,box,1,1,100,62.5,1,100,62.5,,,,,,,,,49.1,5,Averages from literature,0.11,,B,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,0,0,0,2,4,4
Stephanodiscus sp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,sp.,,,Species,Ehrenberg,Diatomées,70300,25,25,10,box,1,1,2250,6250,1,2250,6250,,,,,,,,,4908.7,25,Averages from literature,0.11,,C,VI,Microphytoplankton,0,0,0,0,0,0,1,0,0,0,0,1,3,6
Stephanodiscus tenuis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae ,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,tenuis,,,,Hustedt,Diatomées,70370,12,12,4,box,1,1,480,576,1,480,576,,,,,,,,,452.4,12,Averages from literature,0.11,,D,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,,,,,,
Surirella amphioxys,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,amphioxys,,,,Smith,Diatomées,72121,67.5,16,5,box,0.8,0.8,3743.75,4320,1,3743.75,4320,,,,,,,,,4320,67.5,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella cf brebissonii,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,brebissonii,,,,Krammer & Lange-Bertalot,Diatomées,72125,24,10,5,box,0.7,0.7,1171.43,840,1,1171.43,840,,,,,,,,,840,24,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella elegans,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,elegans,,,,Ehrenberg,Diatomées,72120,174,64,50,box,0.6,0.6,76786.67,334080,1,76786.67,334080,,,,,,,,,334080,174,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella linearis,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,linearis,,,,W.M.Smith,Diatomées,72150,40,8,4,box,0.8,0.8,1280,1024,1,1280,1024,,,,,,,,,1024,40,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella minuta,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,minuta,,,,Brébisson,Diatomées,72140,29,10,5,box,0.8,0.8,1212.5,1160,1,1212.5,1160,,,,,,,,,1160,29,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella ovata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,ovata,,,,Kützing,Diatomées,72110,30,14,4,box,0.6,0.6,1986.67,1008,1,1986.67,1008,,,,,,,,,1008,30,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Surirella sp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,sp.,,,Species,A remplir,Diatomées,72130,85,24,10,box,0.7,0.7,8942.86,14280,1,8942.86,14280,,,,,,,,,3738.5,85,Averages from literature,0.11,,Tb,VI,Microphytoplankton,1,0,1,0,0,0,1,0,,,,,,
Synedra sp.,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,sp.,,,Species,Ehrenberg,Diatomées,70653,15,4,2,box,0.75,0.75,261.33,90,1,261.33,90,,,,,,,,,90,15,Averages from Jean Claude Druart observations,0.11,,D,VI,Nanophytoplankton,0,0,0,1,0,0,1,0,,,,,,
Tabellaria fenestrata,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Tabellariales,Tabellariaceae,Tabellaria,fenestrata,,,,(LYNGBYE) Kützing,Diatomées,72230,90,7,3.5,box,0.8,0.8,2423.75,1764,1,2423.75,1764,,,,,,,,,1323,90,Averages from literature,0.11,N,N,VI,Microphytoplankton,0,0,0,1,0,0,1,0,,,,,,
Tabellaria flocculosa,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Tabellariales,Tabellariaceae,Tabellaria,flocculosa,,,,(ROTH) Kützing,Diatomées,72220,30,10,4,box,1,1,920,1200,1,920,1200,,,,,,,,,1200,30,Averages from literature,0.11,N,N,VI,Microphytoplankton,0,0,0,1,0,0,1,0,0,2,7,1,0,0
Thalassiosira pseudonana,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thallassiosiraceae,Thalassiosira,pseudonana,,,,Hasle & Heimdal,Diatomées,70380,6,6,1.5,tube,1,1,116.57,169.56,1,116.57,169.56,,,,,,,,,36,6,Averages from literature,0.11,,A,VI,Nanophytoplankton,0,0,0,0,0,0,1,0,,,,,,
Ulnaria ulna,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ulnaria,ulna,,,,(C.L. Nitzsch) Compère,Diatomées,70990,180,8,5,box,0.7,0.7,6800,5040,1,6800,5040,,,,,,,,,5040,180,Averages from literature,0.11,,MP,VI,Microphytoplankton,0,0,0,1,0,0,1,0,,,,,,
Ulnaria acus,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ulnaria,acus,,,,"(Kützing) Aboal in Aboal, Alvarez-Cobelas, Cambra & Ector",Diatomées,70991,35,4,4,box,1,1,592,560,1,592,560,,,,,,,,,560,35,Averages from literature,0.11,D,D,VI,Microphytoplankton,0,0,0,0,0,0,1,0,,,,,,
Ulnaria delicatissima var. angustissima,Eukaryota,Chromista,Chromobiota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ulnaria,delicatissima,var.,angustissima,,"(Grunow in Van Heurck) Aboal in Aboal, Alvarez-Cobelas, Cambra & Ector",Diatomées,70992,200,5,4,box,0.6,0.6,6066.67,2400,1,6066.67,2400,,,,,,,,,2400,200,Averages from literature,0.11,,D,VI,Microphytoplankton,0,0,0,0,0,0,1,0,0,3,4,2,1,0
Acanthosphaera sp.,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Golenkiniaceae,Acanthosphaera,sp.,,,Species,Lemmermann,Chlorophycées,89811,11.5,11.5,11.5,sphe,1,1,415.27,795.92,1,415.27,795.92,,,,,,,,,795.9245833,11.5,Averages from literature,0.16,,A,,Nanophytoplankton,0,0,0,0,0,0,0,1,,,,,,
Actinastrum gracillimum,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Coelastraceae,Actinastrum,gracillimum,,,,Smith,Chlorophycées,82611,22.5,3,3,ell,1,1,660.83,105.98,6,3965.01,635.85,,,,,,,,,635.85,45,Averages from literature,0.16,,J,IV,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Actinastrum hantzschii,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Coelastraceae,Actinastrum,hantzschii,,,,LAGERHEIM,Chlorophycées,82610,42,5,5,ell,1,1,2050.39,549.5,8,16403.15,4396,,,,,,,,,4398.2,90,Averages from literature,0.16,,J,IV,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Actinastrum aciculare,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Coelastraceae,Actinastrum,aciculare,,,,Playfair,Chlorophycées,82612,22,3,3,cone,1,1,646.25,51.81,8,5170,414.48,,,,,,,,,414.48,22,Averages from literature,0.16,,J,IV,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Amphikrikos minutissimus,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Amphikrikos,minutissimus,,,,Korsh.,Chlorophycées,85522,5.5,3.5,3.5,ell,1,1,195.23,35.26,1,195.23,35.26,,,,,,,,,35.25958333,5.5,Averages from literature,0.16,,,I,Nanophytoplankton,0,0,0,0,0,0,0,1,,,,,,
Amphikrikos sp.,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Amphikrikos,sp.,,,Species,Korsh.,Chlorophycées,85523,6,4,4,ell,1,1,242.19,50.24,1,242.19,50.24,,,,,,,,,50.24,6,Averages from literature,0.16,,,I,Nanophytoplankton,0,0,0,0,0,0,0,1,,,,,,
Coccomyxa littoralis,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Coccomyxa,littoralis,,,,(Hansg) Wille,Chlorophycées,85527,7,3,3,ell,1,1,210.36,32.97,1,210.36,32.97,,,,,,,,,32.97,7,Averages from literature,0.16,,,VII,Nanophytoplankton,0,0,0,0,0,0,0,1,,,,,,
Pseudococcomyxa sp.,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Pseudococcomyxa,sp.,,,Species,(Mainx) Fott,Chlorophycées,85526,7,3,3,ell,1,1,210.36,32.97,1,210.36,32.97,,,,,,,,,32.97,7,Moyenne échantillons eaux minérales Iran Damavand (2010),0.16,,,VII,Nanophytoplankton,0,0,0,0,0,0,0,1,,,,,,
Ankistrodesmus falcatus,Eukaryota,Plantae,Viridaeplantae,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorellaceae,Ankistrodesmus,falcatus,,,,(Corda) Ralfs,Chlorophycées,81631,43.5,3,3,ell,1,1,1274.06,204.89,20,25481.27,4097.7,55,55,55,trel,0.1,10,2951.91,8706.96,4097.7,43.5,Averages from literature,0.16,,X1,IV,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
